Scenario,Period,LoadLevel,ESS1
sc01,y2030,2030-02-18T15:00:00+01:00,0.0
sc01,y2030,2030-02-18T19:00:00+01:00,0.0
sc01,y2030,2030-02-18T23:00:00+01:00,0.0
sc01,y2030,2030-02-19T03:00:00+01:00,-20.175888062808678
sc01,y2030,2030-02-19T07:00:00+01:00,0.0
sc01,y2030,2030-02-19T11:00:00+01:00,0.0
sc01,y2030,2030-02-19T15:00:00+01:00,0.0
sc01,y2030,2030-02-19T19:00:00+01:00,0.0
sc01,y2030,2030-02-19T23:00:00+01:00,0.0
sc01,y2030,2030-02-20T03:00:00+01:00,0.0
sc01,y2030,2030-02-20T07:00:00+01:00,0.0
sc01,y2030,2030-02-20T11:00:00+01:00,0.0
sc01,y2030,2030-02-20T15:00:00+01:00,0.0
sc01,y2030,2030-02-20T19:00:00+01:00,0.0
sc01,y2030,2030-02-20T23:00:00+01:00,0.0
sc01,y2030,2030-02-21T03:00:00+01:00,-9.208514016808694
sc01,y2030,2030-02-21T07:00:00+01:00,0.0
sc01,y2030,2030-02-21T11:00:00+01:00,0.0
sc01,y2030,2030-02-21T15:00:00+01:00,0.0
sc01,y2030,2030-02-21T19:00:00+01:00,0.0
sc01,y2030,2030-02-21T23:00:00+01:00,0.0
sc01,y2030,2030-02-22T03:00:00+01:00,-99.06587608355863
sc01,y2030,2030-02-22T07:00:00+01:00,0.0
sc01,y2030,2030-02-22T11:00:00+01:00,0.0
sc01,y2030,2030-02-22T15:00:00+01:00,0.0
sc01,y2030,2030-02-22T19:00:00+01:00,0.0
sc01,y2030,2030-02-22T23:00:00+01:00,0.0
sc01,y2030,2030-02-23T03:00:00+01:00,-111.0
sc01,y2030,2030-02-23T07:00:00+01:00,0.0
sc01,y2030,2030-02-23T11:00:00+01:00,0.0
sc01,y2030,2030-02-23T15:00:00+01:00,0.0
sc01,y2030,2030-02-23T19:00:00+01:00,0.0
sc01,y2030,2030-02-23T23:00:00+01:00,-89.60924057399605
sc01,y2030,2030-02-24T03:00:00+01:00,-111.0
sc01,y2030,2030-02-24T07:00:00+01:00,-49.69586917487101
sc01,y2030,2030-02-24T11:00:00+01:00,0.0
sc01,y2030,2030-02-24T15:00:00+01:00,-60.05267437874595
sc01,y2030,2030-02-24T19:00:00+01:00,0.0
sc01,y2030,2030-02-24T23:00:00+01:00,-84.52166117462522
sc01,y2030,2030-02-25T03:00:00+01:00,-111.0
sc01,y2030,2030-02-25T07:00:00+01:00,-111.0
sc01,y2030,2030-02-25T11:00:00+01:00,-26.069388403496095
sc01,y2030,2030-02-25T15:00:00+01:00,-100.66219280649597
sc01,y2030,2030-02-25T19:00:00+01:00,0.0
sc01,y2030,2030-02-25T23:00:00+01:00,-111.0
sc01,y2030,2030-02-26T03:00:00+01:00,-111.0
sc01,y2030,2030-02-26T07:00:00+01:00,0.0
sc01,y2030,2030-02-26T11:00:00+01:00,0.0
sc01,y2030,2030-02-26T15:00:00+01:00,0.0
sc01,y2030,2030-02-26T19:00:00+01:00,0.0
sc01,y2030,2030-02-26T23:00:00+01:00,0.0
sc01,y2030,2030-02-27T03:00:00+01:00,-111.0
sc01,y2030,2030-02-27T07:00:00+01:00,0.0
sc01,y2030,2030-02-27T11:00:00+01:00,0.0
sc01,y2030,2030-02-27T15:00:00+01:00,0.0
sc01,y2030,2030-02-27T19:00:00+01:00,0.0
sc01,y2030,2030-02-27T23:00:00+01:00,0.0
sc01,y2030,2030-02-28T03:00:00+01:00,-43.9163095236213
sc01,y2030,2030-02-28T07:00:00+01:00,0.0
sc01,y2030,2030-02-28T11:00:00+01:00,0.0
sc01,y2030,2030-02-28T15:00:00+01:00,0.0
sc01,y2030,2030-02-28T19:00:00+01:00,0.0
sc01,y2030,2030-02-28T23:00:00+01:00,0.0
