InitialNode,FinalNode,cc1,cc2,cc3,cc4
Oroya_138_kV,Oroya_50_kV,0,0.0,0.0,0.0
Oroya_220_kV,Carhuamayo_220_kV,0,0.0,0.0,0.0
Oroya_220_kV,Oroya_50_kV,0,0.0,0.0,0.0
Oroya_220_kV,Pachachaca_220_kV,0,0.0,0.0,0.0
Oroya_50_kV,Pzinc_50_kV,0,0.0,0.0,0.0
PIndustrial_60_kV,Orcotuna_60_kV,0,0.0,0.0,0.0
Pachachaca_220_kV,Callahuanca_220_kV,0,0.0,0.0,0.0
Pachachaca_220_kV,Pomacocha_220_kV,0,0.0,0.0,0.0
Pachacutec_220_kV,Pachacutec_60_kV,0,0.0,0.0,0.0
Paquitzapango_500_kV,Tambo40_500_kV,0,0.0,0.0,0.0
Paragsha_138_kV,Paragsha_50_kV,0,0.0,0.0,0.0
Paragsha_138_kV,SantaLorenza_138_kV,0,0.0,0.0,0.0
Paragsha_220_kV,Carhuamayo_220_kV,0,0.0,0.0,0.0
Paragsha_220_kV,Conococha_220_kV,0,0.0,0.0,0.0
Paragsha_220_kV,Francoise_220_kV,0,0.0,0.0,0.0
Paragsha_220_kV,Paragsha_138_kV,0,0.0,0.0,0.0
Paragsha_220_kV,Vizcarra_220_kV,0,0.0,0.0,0.0
Paragsha_50_kV,Excelsior_50_kV,0,0.0,0.0,0.0
Paramonga_220_kV,Chimbote_220_kV,0,0.0,0.0,0.0
Paramonga_220_kV,Huarmey_220_kV,0,0.0,0.0,0.0
Paramonga_220_kV,SEPANU_138_kV,0,0.0,0.0,0.0
Paramonga_500_kV,Chimbote_500_kV,0,0.0,0.0,0.0
Paramonga_500_kV,Paramonga_220_kV,0,0.0,0.0,0.0
Paramonga_500_kV,Trujillo_500_kV,0,0.0,0.0,0.0
Parinhas_220_kV,Chira_220_kV,0,0.0,0.0,0.0
Parinhas_220_kV,PiuraOeste_220_kV,0,0.0,0.0,0.0
Parinhas_220_kV,Tumbes_220_kV,0,0.0,0.0,0.0
Parinhas_220_kV,Zorritos_220_kV,0,0.0,0.0,0.0
PiedraBlanca_138_kV,TingoMaria_138_kV,0,0.0,0.0,0.0
PiuraEste_220_kV,LaNinha_220_kV,0,0.0,0.0,0.0
PiuraOeste_220_kV,PiuraEste_220_kV,0,0.0,0.0,0.0
Piura_500_kV,PiuraEste_220_kV,0,0.0,0.0,0.0
Planicie_220_kV,Industriales_220_kV,0,0.0,0.0,0.0
Planicie_220_kV,Manchay_220_kV,0,0.0,0.0,0.0
Planicie_220_kV,Pachacutec_220_kV,0,0.0,0.0,0.0
Planicie_220_kV,SanJuan_220_kV,0,0.0,0.0,0.0
Planicie_500_kV,Carabayllo_500_kV,0,0.0,0.0,0.0
Planicie_500_kV,Carapongo_500_kV,0,0.0,0.0,0.0
Planicie_500_kV,Planicie_220_kV,0,0.0,0.0,0.0
Pomacocha_220_kV,Carhuamayo_220_kV,0,0.0,0.0,0.0
Pomacocha_220_kV,Planicie_220_kV,0,0.0,0.0,0.0
Pomacocha_220_kV,SanJuan_220_kV,0,0.0,0.0,0.0
Poroma_500_kV,ColSur_500_kV,0,0.0,0.0,0.0
Poroma_500_kV,Cotaruse_500_kV,0,0.0,0.0,0.0
Poroma_500_kV,Oconha_500_kV,0,0.0,0.0,0.0
Poroma_500_kV,Poroma_220_kV,0,0.0,0.0,0.0
Poroma_500_kV,Yarabamba_500_kV,0,0.0,0.0,0.0
Pucallpa_138_kV,Pucallpa_60_kV,0,0.0,0.0,0.0
Pucallpa_220_kV,Pucallpa_138_kV,0,0.0,0.0,0.0
PuentePiedra_60_kV,Zapallal_60_kV,0,0.0,0.0,0.0
Puente_60_kV,Balnearios_60_kV,0,0.0,0.0,0.0
Puente_60_kV,Huachipa_60_kV,0,0.0,0.0,0.0
Puno_138_kV,Totorani_138_kV,0,0.0,0.0,0.0
Puno_220_kV,Moquegua_220_kV,0,0.0,0.0,0.0
Puno_220_kV,Puno_138_kV,0,0.0,0.0,0.0
Putina_138_kV,Ananea_138_kV,0,0.0,0.0,0.0
Quencoro_138_kV,Dolorespata_138_kV,0,0.0,0.0,0.0
Quencoro_138_kV,Kayra_138_kV,0,0.0,0.0,0.0
Quencoro_138_kV,ParqueInd_138_kV,0,0.0,0.0,0.0
Reparticion_138_kV,Mollendo_138_kV,0,0.0,0.0,0.0
Reque_220_kV,Carhuaquero_220_kV,0,0.0,0.0,0.0
Reque_220_kV,Guadalupe_220_kV,0,0.0,0.0,0.0
SEPANU_138_kV,SEPAEX_138_kV,0,0.0,0.0,0.0
Salamanca_60_kV,Moyopampa_60_kV,0,0.0,0.0,0.0
SanBartolo_60_kV,Praderas_60_kV,0,0.0,0.0,0.0
SanGaban_138_kV,Mazuco_138_kV,0,0.0,0.0,0.0
SanJose_220_kV,SanLuisCV_220_kV,0,0.0,0.0,0.0
