Period,Scenario,LoadLevel,Anthracite,Gas,Hydro,Nuclear,Onshore_wind,PumpedStorageHydro,Solar_PV,Subbituminous,SynchronousCondenser
2030,sc01,01-11 23:00:00+01:00,0.0,92.83516483516485,-42.859377274487215,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 01:00:00+01:00,0.0,92.83516483516485,-49.962377454487154,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 03:00:00+01:00,0.0,92.83516483516485,-121.45037733448717,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 05:00:00+01:00,0.0,92.83516483516485,-49.962377454487154,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 07:00:00+01:00,0.0,92.83516483516485,49.037622545512846,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 09:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 11:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 13:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 15:00:00+01:00,0.0,92.83516483516485,98.53762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 17:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 21:00:00+01:00,0.0,92.83516483516485,116.14162254551283,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-12 23:00:00+01:00,0.0,92.83516483516485,9.135622545512689,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 01:00:00+01:00,0.0,92.83516483516485,-66.63837761448723,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 03:00:00+01:00,0.0,-259.1648351648352,44.87112254551272,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 05:00:00+01:00,0.0,-259.1648351648352,-4.50512745448907,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 07:00:00+01:00,0.0,92.83516483516485,-99.46237745448715,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 09:00:00+01:00,0.0,92.83516483516485,28.629622545513257,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 11:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 13:00:00+01:00,0.0,92.83516483516485,127.38212254550834,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 15:00:00+01:00,0.0,92.83516483516485,87.88112254551223,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 17:00:00+01:00,0.0,92.83516483516485,144.79549772551437,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 19:00:00+01:00,0.0,92.83516483516485,148.03762254551285,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 21:00:00+01:00,0.0,92.83516483516485,143.76212246551276,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-13 23:00:00+01:00,0.0,92.83516483516485,26.72899754551804,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 01:00:00+01:00,0.0,92.83516483516485,-99.46237745448715,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 03:00:00+01:00,0.0,92.83516483516485,-148.96237745448715,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 05:00:00+01:00,0.0,-259.1648351648352,-37.593627454490544,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 07:00:00+01:00,0.0,-259.1648351648352,29.737622545511044,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 09:00:00+01:00,0.0,92.83516483516485,-14.4623774544892,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 11:00:00+01:00,0.0,92.83516483516485,110.5813725455117,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 13:00:00+01:00,0.0,92.83516483516485,81.7251225455129,0.0,0.0,0.0,0.0,0.0,0.0
2030,sc01,01-14 15:00:00+01:00,0.0,92.83516483516485,43.25012254551186,0.0,0.0,0.0,0.0,0.0,0.0
