Period,Scenario,LoadLevel,Area1
2020,sc01,01-15 11:00:00+01:00,18.24906891
2020,sc01,01-15 12:00:00+01:00,18.12277019
2020,sc01,01-15 13:00:00+01:00,17.940801
2020,sc01,01-15 14:00:00+01:00,17.9598348
2020,sc01,01-15 15:00:00+01:00,18.44493793
2020,sc01,01-15 16:00:00+01:00,19.06350232
2020,sc01,01-15 17:00:00+01:00,19.31060642
2020,sc01,01-15 18:00:00+01:00,18.73957804
2020,sc01,01-15 19:00:00+01:00,18.02226274
2020,sc01,01-15 20:00:00+01:00,17.13318067
2020,sc01,01-15 21:00:00+01:00,16.2791594
2020,sc01,01-15 22:00:00+01:00,15.33671176
2020,sc01,01-15 23:00:00+01:00,14.46216092
2020,sc01,01-16 00:00:00+01:00,14.03189663
2020,sc01,01-16 01:00:00+01:00,13.70537756
2020,sc01,01-16 02:00:00+01:00,13.53242541
2020,sc01,01-16 03:00:00+01:00,13.64735588
2020,sc01,01-16 04:00:00+01:00,14.40904188
2020,sc01,01-16 05:00:00+01:00,15.89174689
2020,sc01,01-16 06:00:00+01:00,17.36078338
2020,sc01,01-16 07:00:00+01:00,18.25229444
2020,sc01,01-16 08:00:00+01:00,18.52255962
2020,sc01,01-16 09:00:00+01:00,18.66962751
2020,sc01,01-16 10:00:00+01:00,18.56845755
2020,sc01,01-16 11:00:00+01:00,18.33155354
2020,sc01,01-16 12:00:00+01:00,18.24135771
2020,sc01,01-16 13:00:00+01:00,18.08860652
2020,sc01,01-16 14:00:00+01:00,18.13487442
2020,sc01,01-16 15:00:00+01:00,18.57721216
2020,sc01,01-16 16:00:00+01:00,19.1188776
2020,sc01,01-16 17:00:00+01:00,19.28246095
2020,sc01,01-16 18:00:00+01:00,18.7354888
2020,sc01,01-16 19:00:00+01:00,18.03697003
2020,sc01,01-16 20:00:00+01:00,17.19222988
2020,sc01,01-16 21:00:00+01:00,16.3183154
2020,sc01,01-16 22:00:00+01:00,15.35770628
2020,sc01,01-16 23:00:00+01:00,14.41068856
2020,sc01,01-17 00:00:00+01:00,13.94950235
2020,sc01,01-17 01:00:00+01:00,13.62795575
2020,sc01,01-17 02:00:00+01:00,13.45866991
2020,sc01,01-17 03:00:00+01:00,13.59796703
2020,sc01,01-17 04:00:00+01:00,14.3702767
2020,sc01,01-17 05:00:00+01:00,15.82849097
2020,sc01,01-17 06:00:00+01:00,17.29334159
2020,sc01,01-17 07:00:00+01:00,18.21339226
2020,sc01,01-17 08:00:00+01:00,18.51730024
2020,sc01,01-17 09:00:00+01:00,18.65270501
2020,sc01,01-17 10:00:00+01:00,18.57828469
2020,sc01,01-17 11:00:00+01:00,18.35793949
2020,sc01,01-17 12:00:00+01:00,18.2579827
2020,sc01,01-17 13:00:00+01:00,18.12792037
2020,sc01,01-17 14:00:00+01:00,18.17996092
2020,sc01,01-17 15:00:00+01:00,18.64402585
2020,sc01,01-17 16:00:00+01:00,19.17863995
2020,sc01,01-17 17:00:00+01:00,19.37807766
2020,sc01,01-17 18:00:00+01:00,18.8675059
2020,sc01,01-17 19:00:00+01:00,18.11889175
2020,sc01,01-17 20:00:00+01:00,17.24229646
2020,sc01,01-17 21:00:00+01:00,16.36485367
2020,sc01,01-17 22:00:00+01:00,15.39057074
2020,sc01,01-17 23:00:00+01:00,14.47781597
2020,sc01,01-18 00:00:00+01:00,14.01920104
2020,sc01,01-18 01:00:00+01:00,13.7153513
2020,sc01,01-18 02:00:00+01:00,13.49309137
2020,sc01,01-18 03:00:00+01:00,13.58890135
2020,sc01,01-18 04:00:00+01:00,14.34858228
2020,sc01,01-18 05:00:00+01:00,15.82938148
2020,sc01,01-18 06:00:00+01:00,17.23960737
2020,sc01,01-18 07:00:00+01:00,18.15705266
2020,sc01,01-18 08:00:00+01:00,18.48900552
