Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-07-02T03:00:00+02:00,68.48162728437812,68.48162728437815,68.48162728437812,68.48162728437812,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437816,68.48162728437815
sc2015,y2030,2030-07-02T07:00:00+02:00,68.48162728437815,68.48162728437819,68.48162728437818,68.48162728437815,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-07-02T11:00:00+02:00,68.48162728437823,68.48162728437819,68.48162728437818,68.48162728437823,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.4816272843782,68.48162728437819
sc2015,y2030,2030-07-02T15:00:00+02:00,68.48162728437812,68.48162728437815,68.48162728437812,68.48162728437812,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437816,68.48162728437815
sc2015,y2030,2030-07-02T19:00:00+02:00,68.48162728437823,68.48162728437818,68.48162728437818,68.48162728437823,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-07-02T23:00:00+02:00,68.48162728437815,68.48162728437819,68.48162728437818,68.48162728437815,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819
sc2015,y2030,2030-07-03T03:00:00+02:00,68.48162728437823,68.48162728437818,68.48162728437818,68.48162728437823,68.48162728437819,68.48162728437818,68.48162728437818,68.48162728437818,68.48162728437818,68.4816272843782,68.48162728437818
sc2015,y2030,2030-07-03T07:00:00+02:00,68.48162728437823,68.48162728437819,68.48162728437818,68.48162728437823,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.48162728437819,68.4816272843782,68.48162728437819
sc2015,y2030,2030-07-03T11:00:00+02:00,67.46951219512192,67.46951219512195,67.46951219512195,67.46951219512192,67.46951219512195,67.46951219512195,67.46951219512195,67.46951219512195,67.46951219512192,67.46951219512192,67.46951219512195
sc2015,y2030,2030-07-03T15:00:00+02:00,48.621955371908484,48.62195537190847,48.62195537190847,48.621955371908484,48.62195537190847,48.62195537190847,48.62195537190847,48.62195537190847,48.62195537190846,48.62195537190846,48.62195537190847
sc2015,y2030,2030-07-03T19:00:00+02:00,66.25,66.25,66.25000000000001,66.25,66.25000000000001,66.25,66.25,66.25,66.24999999999991,66.24999999999991,66.25
sc2015,y2030,2030-07-03T23:00:00+02:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437819,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437806,68.48162728437806,68.48162728437815
sc2015,y2030,2030-07-04T03:00:00+02:00,68.48162728437813,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-07-04T07:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
sc2015,y2030,2030-07-04T11:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
sc2015,y2030,2030-07-04T15:00:00+02:00,65.13272992643057,65.13272992643054,65.13272992643054,65.13272992643057,65.13272992643054,65.13272992643054,65.13272992643053,65.13272992643053,65.13272992643053,65.13272992643053,65.13272992643053
sc2015,y2030,2030-07-04T19:00:00+02:00,68.48162728437815,68.48162728437812,68.48162728437813,68.48162728437815,68.48162728437813,68.48162728437812,68.48162728437812,68.48162728437812,68.48162728437812,68.48162728437812,68.48162728437812
sc2015,y2030,2030-07-04T23:00:00+02:00,68.48162728437815,68.48162728437825,68.48162728437832,68.48162728437815,68.48162728437832,68.48162728437825,68.48162728437832,68.48162728437832,68.48162728437832,68.48162728437832,68.48162728437832
sc2015,y2030,2030-07-05T03:00:00+02:00,68.48162728437819,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782,68.4816272843782,68.4816272843782,68.48162728437819,68.48162728437819,68.4816272843782
