,,,LineType,LossesCoeff,X,TTC,FixedCost,FxChargeRate,,
Suriray_220_kV,Kayra_220_kV,cc1,AC,0,0.112115446,294,0,0,,Suriray_220_kVKayra_220_kV
Suriray_220_kV,Abancay_220_kV,cc1,AC,0,0.061168376,245,0,0,,Suriray_220_kVAbancay_220_kV
Abancay_220_kV,Cotaruse_220_kV,cc1,AC,0,0.136865558,245,0,0,,Abancay_220_kVCotaruse_220_kV
Suriray_220_kV,Cotaruse_220_kV,cc1,AC,0,0.198349778,245,0,0,,Suriray_220_kVCotaruse_220_kV
Carhuaquero_220_kV,Carhuaquero_138_kV,cc1,AC,0,0.342857143,9999,0,0,,Carhuaquero_220_kVCarhuaquero_138_kV
Guadalupe_220_kV,Guadalupe_60_kV,cc1,AC,0,0.082903161,9999,0,0,,Guadalupe_220_kVGuadalupe_60_kV
Chimbote_220_kV,Chimbote_138_kV,cc1,AC,0,0.044868229,235.2,0,0,,Chimbote_220_kVChimbote_138_kV
KimanAyllu_220_kV,KimanAyllu_138_kV,cc1,AC,0,0.12533,98,0,0,,KimanAyllu_220_kVKimanAyllu_138_kV
Paramonga_220_kV,SEPANU_138_kV,cc1,AC,0,0.179846154,9999,0,0,,Paramonga_220_kVSEPANU_138_kV
Lomera_220_kV,Lomera_60_kV,cc1,AC,0,0.104,9999,0,0,,Lomera_220_kVLomera_60_kV
Zapallal_220_kV,Huarangal_60_kV,cc1,AC,0,0.069555556,9999,0,0,,Zapallal_220_kVHuarangal_60_kV
Chillon_220_kV,Chillon_60_kV,cc1,AC,0,0.029555556,9999,0,0,,Chillon_220_kVChillon_60_kV
Chavarria_220_kV,Chavarria_60_kV,cc1,AC,0,0.021904939,9999,0,0,,Chavarria_220_kVChavarria_60_kV
Barsi_220_kV,Barsi_60_kV,cc1,AC,0,0.023704828,9999,0,0,,Barsi_220_kVBarsi_60_kV
Mirador_220_kV,Mirador_60_kV,cc1,AC,0,0.096666667,9999,0,0,,Mirador_220_kVMirador_60_kV
Malvinas_220_kV,Mirones_60_kV,cc1,AC,0,0.063055556,9999,0,0,,Malvinas_220_kVMirones_60_kV
Aeropuerto_220_kV,Aeropuerto_60_kV,cc1,AC,0,0.058,9999,0,0,,Aeropuerto_220_kVAeropuerto_60_kV
SantaRosa_220_kV,SantaRosaLDS_60_kV,cc1,AC,0,0.020688047,9999,0,0,,SantaRosa_220_kVSantaRosaLDS_60_kV
SantaRosa_220_kV,SantaRosaEDN_60_kV,cc1,AC,0,0.020688047,9999,0,0,,SantaRosa_220_kVSantaRosaEDN_60_kV
Balnearios_220_kV,Balnearios_60_kV,cc1,AC,0,0.019048923,9999,0,0,,Balnearios_220_kVBalnearios_60_kV
SanJuan_220_kV,SanJuan_60_kV,cc1,AC,0,0.032347476,9999,0,0,,SanJuan_220_kVSanJuan_60_kV
Pachacutec_220_kV,Pachacutec_60_kV,cc1,AC,0,0.047833333,9999,0,0,,Pachacutec_220_kVPachacutec_60_kV
Industriales_220_kV,Puente_60_kV,cc1,AC,0,0.052551042,9999,0,0,,Industriales_220_kVPuente_60_kV
Manchay_220_kV,Manchay_60_kV,cc1,AC,0,0.09175,9999,0,0,,Manchay_220_kVManchay_60_kV
SanMiguel_220_kV,SanMiguel_60_kV,cc1,AC,0,0.042965626,9999,0,0,,SanMiguel_220_kVSanMiguel_60_kV
ChilcaREP_220_kV,Chilca_60_kV,cc1,AC,0,0.095,9999,0,0,,ChilcaREP_220_kVChilca_60_kV
AltoPraderas_220_kV,Praderas_60_kV,cc1,AC,0,0.052375,9999,0,0,,AltoPraderas_220_kVPraderas_60_kV
Asia_220_kV,Bujama_60_kV,cc1,AC,0,0.139294118,9999,0,0,,Asia_220_kVBujama_60_kV
Independencia_220_kV,Independencia_60_kV,cc1,AC,0,0.093994787,9999,0,0,,Independencia_220_kVIndependencia_60_kV
Chincha_220_kV,PuebloNuevo_60_kV,cc1,AC,0,0.196,9999,0,0,,Chincha_220_kVPuebloNuevo_60_kV
Marcona_220_kV,Marcona_60_kV,cc1,AC,0,0.096955655,9999,0,0,,Marcona_220_kVMarcona_60_kV
Nazca_220_kV,Nazca_60_kV,cc1,AC,0,0.191866667,9999,0,0,,Nazca_220_kVNazca_60_kV
