,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-07 23:00:00+01:00,,,,,,,,,,,,,,21.00255,0.000001,
2030,sc01,01-08 00:00:00+01:00,,,,,,,,,,,,,,24.3012,0.000001,
2030,sc01,01-08 01:00:00+01:00,,,,,,,,,,,,,,29.79515,0.000001,
2030,sc01,01-08 02:00:00+01:00,,,,,,,,,,,,,,35.07705,0.000001,
2030,sc01,01-08 03:00:00+01:00,,,,,,,,,,,,,,38.581975,0.000001,
2030,sc01,01-08 04:00:00+01:00,,,,,,,,,,,,,,41.523675,0.000001,
2030,sc01,01-08 05:00:00+01:00,,,,,,,,,,,,,,46.88555,0.000001,
2030,sc01,01-08 06:00:00+01:00,,,,,,,,,,,,,,49.86205,0.000001,
2030,sc01,01-08 07:00:00+01:00,,,,,,,,,,,,,,47.8444,0.047025,
2030,sc01,01-08 08:00:00+01:00,,,,,,,,,,,,,,49.694825,0.6727,
2030,sc01,01-08 09:00:00+01:00,,,,,,,,,,,,,,48.58115,13.578575,
2030,sc01,01-08 10:00:00+01:00,,,,,,,,,,,,,,55.0254,36.39735,
2030,sc01,01-08 11:00:00+01:00,,,,,,,,,,,,,,45.0795,52.019425,
2030,sc01,01-08 12:00:00+01:00,,,,,,,,,,,,,,48.4316,59.980125,
2030,sc01,01-08 13:00:00+01:00,,,,,,,,,,,,,,54.697075,63.894975,
2030,sc01,01-08 14:00:00+01:00,,,,,,,,,,,,,,58.1177,62.267225,
2030,sc01,01-08 15:00:00+01:00,,,,,,,,,,,,,,58.9042,53.91765,
2030,sc01,01-08 16:00:00+01:00,,,,,,,,,,,,,,48.7698,34.7071,
2030,sc01,01-08 17:00:00+01:00,,,,,,,,,,,,,,48.64885,8.902825,
2030,sc01,01-08 18:00:00+01:00,,,,,,,,,,,,,,58.05485,0.08485,
2030,sc01,01-08 19:00:00+01:00,,,,,,,,,,,,,,78.06555,0.000001,
2030,sc01,01-08 20:00:00+01:00,,,,,,,,,,,,,,89.571375,0.000001,
2030,sc01,01-08 21:00:00+01:00,,,,,,,,,,,,,,103.84355,0.000001,
2030,sc01,01-08 22:00:00+01:00,,,,,,,,,,,,,,121.338475,0.000001,
2030,sc01,01-08 23:00:00+01:00,,,,,,,,,,,,,,129.90995,0.000001,
2030,sc01,01-09 00:00:00+01:00,,,,,,,,,,,,,,125.4636,0.000001,
2030,sc01,01-09 01:00:00+01:00,,,,,,,,,,,,,,106.9371,0.000001,
2030,sc01,01-09 02:00:00+01:00,,,,,,,,,,,,,,92.91045,0.000001,
2030,sc01,01-09 03:00:00+01:00,,,,,,,,,,,,,,79.1055,0.000001,
2030,sc01,01-09 04:00:00+01:00,,,,,,,,,,,,,,79.6647,0.000001,
2030,sc01,01-09 05:00:00+01:00,,,,,,,,,,,,,,80.00465,0.000001,
2030,sc01,01-09 06:00:00+01:00,,,,,,,,,,,,,,86.956275,0.000001,
2030,sc01,01-09 07:00:00+01:00,,,,,,,,,,,,,,91.754,0.047325,
2030,sc01,01-09 08:00:00+01:00,,,,,,,,,,,,,,86.99575,0.9741,
2030,sc01,01-09 09:00:00+01:00,,,,,,,,,,,,,,84.988275,18.80815,
2030,sc01,01-09 10:00:00+01:00,,,,,,,,,,,,,,85.09835,47.07235,
2030,sc01,01-09 11:00:00+01:00,,,,,,,,,,,,,,81.96415,63.20205,
2030,sc01,01-09 12:00:00+01:00,,,,,,,,,,,,,,78.696375,71.28595,
2030,sc01,01-09 13:00:00+01:00,,,,,,,,,,,,,,78.2992,74.395775,
2030,sc01,01-09 14:00:00+01:00,,,,,,,,,,,,,,77.61165,71.6568,
2030,sc01,01-09 15:00:00+01:00,,,,,,,,,,,,,,75.4285,62.274175,
2030,sc01,01-09 16:00:00+01:00,,,,,,,,,,,,,,75.30105,41.285625,
