Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-02-15T07:00:00+01:00,200.9667356378734
sc01,y2030,2030-02-15T11:00:00+01:00,340.31198051262345
sc01,y2030,2030-02-15T15:00:00+01:00,294.56880744737373
sc01,y2030,2030-02-15T19:00:00+01:00,347.106085348124
sc01,y2030,2030-02-15T23:00:00+01:00,159.17958074487365
sc01,y2030,2030-02-16T03:00:00+01:00,13.262711766123857
sc01,y2030,2030-02-16T07:00:00+01:00,193.5557397143741
sc01,y2030,2030-02-16T11:00:00+01:00,331.77655017962365
sc01,y2030,2030-02-16T15:00:00+01:00,277.098696350874
sc01,y2030,2030-02-16T19:00:00+01:00,318.0146051586237
sc01,y2030,2030-02-16T23:00:00+01:00,132.92997204637368
sc01,y2030,2030-02-17T03:00:00+01:00,-27.494632314875957
sc01,y2030,2030-02-17T07:00:00+01:00,18.77393530137374
sc01,y2030,2030-02-17T11:00:00+01:00,153.71010340987368
sc01,y2030,2030-02-17T15:00:00+01:00,101.82979362687388
sc01,y2030,2030-02-17T19:00:00+01:00,185.81220169887365
sc01,y2030,2030-02-17T23:00:00+01:00,57.50049197312342
sc01,y2030,2030-02-18T03:00:00+01:00,-81.35059957187661
sc01,y2030,2030-02-18T07:00:00+01:00,-90.1655331411265
sc01,y2030,2030-02-18T11:00:00+01:00,37.495407029873604
sc01,y2030,2030-02-18T15:00:00+01:00,13.819093271623615
sc01,y2030,2030-02-18T19:00:00+01:00,133.81703427437355
sc01,y2030,2030-02-18T23:00:00+01:00,52.3603983663736
sc01,y2030,2030-02-19T03:00:00+01:00,-63.92582109287616
sc01,y2030,2030-02-19T07:00:00+01:00,142.1953892093734
sc01,y2030,2030-02-19T11:00:00+01:00,320.02432715737336
sc01,y2030,2030-02-19T15:00:00+01:00,279.1703178538735
sc01,y2030,2030-02-19T19:00:00+01:00,328.00055897612356
sc01,y2030,2030-02-19T23:00:00+01:00,145.89758620887392
sc01,y2030,2030-02-20T03:00:00+01:00,2.2937564623737217
sc01,y2030,2030-02-20T07:00:00+01:00,180.2577862921239
sc01,y2030,2030-02-20T11:00:00+01:00,325.2244836891239
sc01,y2030,2030-02-20T15:00:00+01:00,278.51237556262345
sc01,y2030,2030-02-20T19:00:00+01:00,336.9884090366236
sc01,y2030,2030-02-20T23:00:00+01:00,161.39702219612354
sc01,y2030,2030-02-21T03:00:00+01:00,16.90835166562374
sc01,y2030,2030-02-21T07:00:00+01:00,197.3771874971237
sc01,y2030,2030-02-21T11:00:00+01:00,347.31330211037357
sc01,y2030,2030-02-21T15:00:00+01:00,307.3690335506235
sc01,y2030,2030-02-21T19:00:00+01:00,357.4139027463734
sc01,y2030,2030-02-21T23:00:00+01:00,170.1331417531237
sc01,y2030,2030-02-22T03:00:00+01:00,20.561455917624016
sc01,y2030,2030-02-22T07:00:00+01:00,201.89478079862374
sc01,y2030,2030-02-22T11:00:00+01:00,349.91653541262394
sc01,y2030,2030-02-22T15:00:00+01:00,307.4431938496241
sc01,y2030,2030-02-22T19:00:00+01:00,354.7932027353736
sc01,y2030,2030-02-22T23:00:00+01:00,167.99596001537407
sc01,y2030,2030-02-23T03:00:00+01:00,19.37298759712371
sc01,y2030,2030-02-23T07:00:00+01:00,194.90920093962382
sc01,y2030,2030-02-23T11:00:00+01:00,338.640049816124
sc01,y2030,2030-02-23T15:00:00+01:00,280.983607142374
sc01,y2030,2030-02-23T19:00:00+01:00,323.303565287624
sc01,y2030,2030-02-23T23:00:00+01:00,145.56966678862364
sc01,y2030,2030-02-24T03:00:00+01:00,-16.489881433126243
sc01,y2030,2030-02-24T07:00:00+01:00,26.834379228373564
sc01,y2030,2030-02-24T11:00:00+01:00,173.6357043893738
sc01,y2030,2030-02-24T15:00:00+01:00,125.46818961512349
sc01,y2030,2030-02-24T19:00:00+01:00,192.73984705362363
sc01,y2030,2030-02-24T23:00:00+01:00,66.77755555362387
sc01,y2030,2030-02-25T03:00:00+01:00,-80.64727503262611
sc01,y2030,2030-02-25T07:00:00+01:00,-86.19007503112607
sc01,y2030,2030-02-25T11:00:00+01:00,64.59867111537392
sc01,y2030,2030-02-25T15:00:00+01:00,49.13545265612356
sc01,y2030,2030-02-25T19:00:00+01:00,150.00812967637353
sc01,y2030,2030-02-25T23:00:00+01:00,61.30223319487368
sc01,y2030,2030-02-26T03:00:00+01:00,-57.70577545537651
sc01,y2030,2030-02-26T07:00:00+01:00,153.9332541603735
sc01,y2030,2030-02-26T11:00:00+01:00,331.19616202712336
sc01,y2030,2030-02-26T15:00:00+01:00,296.62823032187316
sc01,y2030,2030-02-26T19:00:00+01:00,334.4882688773737
sc01,y2030,2030-02-26T23:00:00+01:00,151.31929881737346
sc01,y2030,2030-02-27T03:00:00+01:00,2.9417524351235897
sc01,y2030,2030-02-27T07:00:00+01:00,188.5880970788735
sc01,y2030,2030-02-27T11:00:00+01:00,342.4468790611236
sc01,y2030,2030-02-27T15:00:00+01:00,307.3709075233737
sc01,y2030,2030-02-27T19:00:00+01:00,340.28696884087367
sc01,y2030,2030-02-27T23:00:00+01:00,145.68701257237376
sc01,y2030,2030-02-28T03:00:00+01:00,-5.7489414641263465
sc01,y2030,2030-02-28T07:00:00+01:00,172.1980124568738
sc01,y2030,2030-02-28T11:00:00+01:00,316.75628270637344
sc01,y2030,2030-02-28T15:00:00+01:00,277.43123217612333
sc01,y2030,2030-02-28T19:00:00+01:00,322.0334536011235
sc01,y2030,2030-02-28T23:00:00+01:00,135.05713307237306
sc01,y2030,2030-03-01T03:00:00+01:00,-13.734939696876722
sc01,y2030,2030-03-01T07:00:00+01:00,171.4790952113733
sc01,y2030,2030-03-01T11:00:00+01:00,309.89986891712306
sc01,y2030,2030-03-01T15:00:00+01:00,272.99085182887325
sc01,y2030,2030-03-01T19:00:00+01:00,320.59402430087334
sc01,y2030,2030-03-01T23:00:00+01:00,134.92620483437327
sc01,y2030,2030-03-02T03:00:00+01:00,-10.840960131626844
sc01,y2030,2030-03-02T07:00:00+01:00,173.85273719412316
sc01,y2030,2030-03-02T11:00:00+01:00,302.31115407462335
sc01,y2030,2030-03-02T15:00:00+01:00,244.47096142462328
sc01,y2030,2030-03-02T19:00:00+01:00,283.08575654637366
sc01,y2030,2030-03-02T23:00:00+01:00,103.39686257287349
sc01,y2030,2030-03-03T03:00:00+01:00,-60.504585328126836
sc01,y2030,2030-03-03T07:00:00+01:00,-12.305469250376746
sc01,y2030,2030-03-03T11:00:00+01:00,125.06279032712314
sc01,y2030,2030-03-03T15:00:00+01:00,61.873084413373135
sc01,y2030,2030-03-03T19:00:00+01:00,140.61717014162332
sc01,y2030,2030-03-03T23:00:00+01:00,27.04657854812308
sc01,y2030,2030-03-04T03:00:00+01:00,-113.9840430098767
sc01,y2030,2030-03-04T07:00:00+01:00,-118.57823499862684
sc01,y2030,2030-03-04T11:00:00+01:00,6.204070003873312
sc01,y2030,2030-03-04T15:00:00+01:00,-26.33548181337676
sc01,y2030,2030-03-04T19:00:00+01:00,96.35311244337345
sc01,y2030,2030-03-04T23:00:00+01:00,10.200649277123375
sc01,y2030,2030-03-05T03:00:00+01:00,-96.74828240887666
sc01,y2030,2030-03-05T07:00:00+01:00,131.86292620437348
sc01,y2030,2030-03-05T11:00:00+01:00,277.8121657496238
sc01,y2030,2030-03-05T15:00:00+01:00,237.72701025862352
sc01,y2030,2030-03-05T19:00:00+01:00,296.1307636046233
sc01,y2030,2030-03-05T23:00:00+01:00,106.56782619862315
sc01,y2030,2030-03-06T03:00:00+01:00,-35.84652372337678
sc01,y2030,2030-03-06T07:00:00+01:00,157.99584049637338
sc01,y2030,2030-03-06T11:00:00+01:00,294.86248855512326
sc01,y2030,2030-03-06T15:00:00+01:00,259.2474034943732
sc01,y2030,2030-03-06T19:00:00+01:00,308.2703606463731
sc01,y2030,2030-03-06T23:00:00+01:00,110.47753155937335
sc01,y2030,2030-03-07T03:00:00+01:00,-45.338317977126735
sc01,y2030,2030-03-07T07:00:00+01:00,147.88682612462344
sc01,y2030,2030-03-07T11:00:00+01:00,285.3535253801231
sc01,y2030,2030-03-07T15:00:00+01:00,245.29930706187315
sc01,y2030,2030-03-07T19:00:00+01:00,295.5324062811235
sc01,y2030,2030-03-07T23:00:00+01:00,107.18283739062349
sc01,y2030,2030-03-08T03:00:00+01:00,-43.021797828876856
sc01,y2030,2030-03-08T07:00:00+01:00,146.9455087951235
sc01,y2030,2030-03-08T11:00:00+01:00,274.6306043153734
sc01,y2030,2030-03-08T15:00:00+01:00,230.2203234158735
sc01,y2030,2030-03-08T19:00:00+01:00,279.27596144762333
sc01,y2030,2030-03-08T23:00:00+01:00,102.4477334348735
sc01,y2030,2030-03-09T03:00:00+01:00,-41.86298232012666
sc01,y2030,2030-03-09T07:00:00+01:00,148.41189183412303
sc01,y2030,2030-03-09T11:00:00+01:00,281.3477877481232
sc01,y2030,2030-03-09T15:00:00+01:00,229.3590236043733
sc01,y2030,2030-03-09T19:00:00+01:00,261.8129673758733
sc01,y2030,2030-03-09T23:00:00+01:00,93.60712426087298
sc01,y2030,2030-03-10T03:00:00+01:00,-61.38883666587685
sc01,y2030,2030-03-10T07:00:00+01:00,-8.94843499637659
sc01,y2030,2030-03-10T11:00:00+01:00,114.66641747562335
sc01,y2030,2030-03-10T15:00:00+01:00,45.29253000562312
sc01,y2030,2030-03-10T19:00:00+01:00,127.18567619762325
sc01,y2030,2030-03-10T23:00:00+01:00,20.57130919312317
sc01,y2030,2030-03-11T03:00:00+01:00,-118.83737386212692
sc01,y2030,2030-03-11T07:00:00+01:00,-122.02948980037672
sc01,y2030,2030-03-11T11:00:00+01:00,-6.438249274626969
sc01,y2030,2030-03-11T15:00:00+01:00,-54.54854314862689
sc01,y2030,2030-03-11T19:00:00+01:00,74.81064861437312
