Scenario,Period,LoadLevel,FR00
sc2025,y2025,2025-01-24T01:00:00+01:00,0
sc2025,y2025,2025-01-24T03:00:00+01:00,0
sc2025,y2025,2025-01-24T05:00:00+01:00,0
sc2025,y2025,2025-01-24T07:00:00+01:00,0
sc2025,y2025,2025-01-24T09:00:00+01:00,0
sc2025,y2025,2025-01-24T11:00:00+01:00,0
sc2025,y2025,2025-01-24T13:00:00+01:00,0
sc2025,y2025,2025-01-24T15:00:00+01:00,0
sc2025,y2025,2025-01-24T17:00:00+01:00,0
sc2025,y2025,2025-01-24T19:00:00+01:00,0
sc2025,y2025,2025-01-24T21:00:00+01:00,0
sc2025,y2025,2025-01-24T23:00:00+01:00,0
sc2025,y2025,2025-01-25T01:00:00+01:00,0
sc2025,y2025,2025-01-25T03:00:00+01:00,0
sc2025,y2025,2025-01-25T05:00:00+01:00,0
sc2025,y2025,2025-01-25T07:00:00+01:00,0
sc2025,y2025,2025-01-25T09:00:00+01:00,0
sc2025,y2025,2025-01-25T11:00:00+01:00,0
sc2025,y2025,2025-01-25T13:00:00+01:00,0
sc2025,y2025,2025-01-25T15:00:00+01:00,0
sc2025,y2025,2025-01-25T17:00:00+01:00,0
sc2025,y2025,2025-01-25T19:00:00+01:00,0
sc2025,y2025,2025-01-25T21:00:00+01:00,0
sc2025,y2025,2025-01-25T23:00:00+01:00,0
sc2025,y2025,2025-01-26T01:00:00+01:00,0
sc2025,y2025,2025-01-26T03:00:00+01:00,0
sc2025,y2025,2025-01-26T05:00:00+01:00,0
sc2025,y2025,2025-01-26T07:00:00+01:00,0
sc2025,y2025,2025-01-26T09:00:00+01:00,0
sc2025,y2025,2025-01-26T11:00:00+01:00,0
sc2025,y2025,2025-01-26T13:00:00+01:00,0
sc2025,y2025,2025-01-26T15:00:00+01:00,0
sc2025,y2025,2025-01-26T17:00:00+01:00,0
sc2025,y2025,2025-01-26T19:00:00+01:00,0
sc2025,y2025,2025-01-26T21:00:00+01:00,0
sc2025,y2025,2025-01-26T23:00:00+01:00,0
sc2025,y2025,2025-01-27T01:00:00+01:00,0
sc2025,y2025,2025-01-27T03:00:00+01:00,0
sc2025,y2025,2025-01-27T05:00:00+01:00,0
sc2025,y2025,2025-01-27T07:00:00+01:00,0
sc2025,y2025,2025-01-27T09:00:00+01:00,0
sc2025,y2025,2025-01-27T11:00:00+01:00,0
sc2025,y2025,2025-01-27T13:00:00+01:00,0
sc2025,y2025,2025-01-27T15:00:00+01:00,0
sc2025,y2025,2025-01-27T17:00:00+01:00,0
sc2025,y2025,2025-01-27T19:00:00+01:00,0
sc2025,y2025,2025-01-27T21:00:00+01:00,0
sc2025,y2025,2025-01-27T23:00:00+01:00,0
sc2025,y2025,2025-01-28T01:00:00+01:00,0
sc2025,y2025,2025-01-28T03:00:00+01:00,0
sc2025,y2025,2025-01-28T05:00:00+01:00,0
