,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
FI00_HardCoal,FI00,HardCoal,,,611.8321291,244.7328517,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
FR00_HardCoal,FR00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
GR00_HardCoal,GR00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
GR03_HardCoal,GR03,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
HR00_HardCoal,HR00,HardCoal,,,191.9999993,76.79999971,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
HU00_HardCoal,HU00,HardCoal,,,30.5,12.2,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
IE00_HardCoal,IE00,HardCoal,,,855,342,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ITCN_HardCoal,ITCN,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ITCS_HardCoal,ITCS,HardCoal,,,1667.806624,667.1226497,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ITN1_HardCoal,ITN1,HardCoal,,,1089.588048,435.835219,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ITS1_HardCoal,ITS1,HardCoal,,,2324.233595,929.6934381,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ITSA_HardCoal,ITSA,HardCoal,,,896.9358333,358.7743333,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ITSI_HardCoal,ITSI,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
LT00_HardCoal,LT00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
LUG1_HardCoal,LUG1,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
LV00_HardCoal,LV00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
ME00_HardCoal,ME00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
MK00_HardCoal,MK00,HardCoal,,,420,168,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
MT00_HardCoal,MT00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
NL00_HardCoal,NL00,HardCoal,,,2670.990021,1068.396008,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
NOM1_HardCoal,NOM1,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
NON1_HardCoal,NON1,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
NOS0_HardCoal,NOS0,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
PL00_HardCoal,PL00,HardCoal,,,13399.75465,5359.901859,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
PT00_HardCoal,PT00,HardCoal,,,1756,702.4,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
RO00_HardCoal,RO00,HardCoal,,,620,248,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
RS00_HardCoal,RS00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
SE01_HardCoal,SE01,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
SE02_HardCoal,SE02,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
SE03_HardCoal,SE03,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
SE04_HardCoal,SE04,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
SI00_HardCoal,SI00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
SK00_HardCoal,SK00,HardCoal,,,194.4121275,77.764851,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
TR00_HardCoal,TR00,HardCoal,,,8081.393961,3232.557584,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
UA01_HardCoal,UA01,HardCoal,,,2197.754395,879.1017578,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
UK00_HardCoal,UK00,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
UKNI_HardCoal,UKNI,HardCoal,,,0,0,,,,,,,,,7,7,2,9.000000252,,3.3,81,,95,,,,,
AL00_Gas,AL00,Gas,,,300,120,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
AT00_Gas,AT00,Gas,,,3415.699996,1366.279998,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
BA00_Gas,BA00,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
BE00_Gas,BE00,Gas,,,7824.300013,3129.720005,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
BG00_Gas,BG00,Gas,,,318,127.2,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
CH00_Gas,CH00,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
CY00_Gas,CY00,Gas,,,779.6835089,311.8734035,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
CZ00_Gas,CZ00,Gas,,,1349.700001,539.8800003,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
DE00_Gas,DE00,Gas,,,22358.75495,8943.50198,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
DEKF_Gas,DEKF,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
DKE1_Gas,DKE1,Gas,,,23.20000076,9.280000305,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
DKKF_Gas,DKKF,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
DKW1_Gas,DKW1,Gas,,,322.5,129,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
EE00_Gas,EE00,Gas,,,94,37.6,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ES00_Gas,ES00,Gas,,,24498.56,9799.423999,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
FI00_Gas,FI00,Gas,,,1193,477.2,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
FR00_Gas,FR00,Gas,,,7189,2875.6,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
GR00_Gas,GR00,Gas,,,4787.629009,1915.051604,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
GR03_Gas,GR03,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
HR00_Gas,HR00,Gas,,,547,218.8,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
HU00_Gas,HU00,Gas,,,2115.400002,846.1600006,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
IE00_Gas,IE00,Gas,,,3658.654574,1463.46183,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ITCN_Gas,ITCN,Gas,,,982.2885462,392.9154185,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ITCS_Gas,ITCS,Gas,,,3461.224673,1384.489869,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ITN1_Gas,ITN1,Gas,,,15788.61945,6315.447779,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ITS1_Gas,ITS1,Gas,,,7367.145158,2946.858063,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ITSA_Gas,ITSA,Gas,,,41.9842353,16.79369412,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ITSI_Gas,ITSI,Gas,,,2597.321033,1038.928413,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
LT00_Gas,LT00,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
LUG1_Gas,LUG1,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
LV00_Gas,LV00,Gas,,,949,379.6,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
ME00_Gas,ME00,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
MK00_Gas,MK00,Gas,,,276.8000031,110.7200012,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
MT00_Gas,MT00,Gas,,,357.8000031,143.1200012,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
NL00_Gas,NL00,Gas,,,10992.3,4396.92,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
NOM1_Gas,NOM1,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
NON1_Gas,NON1,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
NOS0_Gas,NOS0,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
PL00_Gas,PL00,Gas,,,2016.367004,806.5468018,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
PT00_Gas,PT00,Gas,,,3829,1531.6,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
RO00_Gas,RO00,Gas,,,3003.55,1201.42,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
RS00_Gas,RS00,Gas,,,182.9000015,73.16000061,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
SE01_Gas,SE01,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
SE02_Gas,SE02,Gas,,,53.7480011,21.49920044,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
SE03_Gas,SE03,Gas,,,324.0410004,129.6164001,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
SE04_Gas,SE04,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
SI00_Gas,SI00,Gas,,,223,89.2,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
SK00_Gas,SK00,Gas,,,685.4199867,274.1679947,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
TR00_Gas,TR00,Gas,,,25446.90078,10178.76031,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
UA01_Gas,UA01,Gas,,,0,0,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
UK00_Gas,UK00,Gas,,,30906.10004,12362.44001,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
UKNI_Gas,UKNI,Gas,,,986.7175009,394.6870004,,,,,,,,,3,3,7,6.206896726,,1.6,36,,57,,,,,
AL00_Oil,AL00,Oil,,,0,0,,,,,,,,,3,3,19,9.000000252,,3.3,81,,78,,,,,
