Scenario,Period,LoadLevel,AT00_HydroTurbinePumpStorage,BA00_HydroTurbinePumpStorage,BE00_HydroTurbinePumpStorage,BG00_HydroTurbinePumpStorage,CH00_HydroTurbinePumpStorage,CZ00_HydroTurbinePumpStorage,DE00_HydroTurbinePumpStorage,ES00_HydroTurbinePumpStorage,FR00_HydroTurbinePumpStorage,GR00_HydroTurbinePumpStorage,HR00_HydroTurbinePumpStorage,IE00_HydroTurbinePumpStorage,ITCS_HydroTurbinePumpStorage,ITN1_HydroTurbinePumpStorage,ITSA_HydroTurbinePumpStorage,ITSI_HydroTurbinePumpStorage,LT00_HydroTurbinePumpStorage,NOM1_HydroTurbinePumpStorage,NON1_HydroTurbinePumpStorage,NOS0_HydroTurbinePumpStorage,PL00_HydroTurbinePumpStorage,PT00_HydroTurbinePumpStorage,RO00_HydroTurbinePumpStorage,RS00_HydroTurbinePumpStorage,SI00_HydroTurbinePumpStorage,SK00_HydroTurbinePumpStorage,UK00_HydroTurbinePumpStorage
sc2025,y2025,2025-01-06T01:00:00+01:00,0.0,0.88,2.189385297200002,2.798,7.978,2.315999938,0.0,13.790000000000001,6.821726223000148,1.47,0.6,0.0,3.494,10.01,0.48,0.0,0.373747677000008,0.0,0.0,0.0,1.4653949700999984,4.861619226000006,1.492,1.228,1.068,1.8521199952,0.0
sc2025,y2025,2025-01-06T03:00:00+01:00,0.0,0.88,2.79,2.798,7.978,2.315999938,13.374500051836073,13.790000000000001,6.255604585000121,1.47,0.6,0.0,3.494,10.01,0.48,0.0,1.8,0.0,0.0,0.0,3.0035999460000005,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-06T05:00:00+01:00,8.376560057999999,0.88,2.6236593617049384,2.798,7.978,2.315999938,5.715618234592057,13.790000000000001,7.0,1.47,0.6,0.0,3.494,10.01,0.48,0.0,1.8,0.0,0.0,0.0,3.0035999460000005,7.664000000000001,1.492,1.228,1.068,1.8521199952,5.908
sc2025,y2025,2025-01-06T07:00:00+01:00,0.0,0.38585791055838314,2.79,0.0,7.978,1.4428730039999942,0.0,13.790000000000001,7.0,0.0,0.0,0.0,3.494,4.415029844370141,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,1.1730576765170275,0.2874853914116118,0.0,3.498287808202881
sc2025,y2025,2025-01-06T09:00:00+01:00,0.0,0.0,1.497668758899988,0.0,0.0,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.9023246638180018,8.246657430519125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.077859271000006,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T11:00:00+01:00,0.0,0.0,0.0,1.9676145880899383,0.0,0.0,4.470757554462098,13.790000000000001,0.0,1.47,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T13:00:00+01:00,0.0,0.0,0.0,2.5313959045599703,0.0,0.0,12.281965493300104,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.48,0.46152352144000014,0.0,0.0,0.0,0.0,0.0,2.9315732660000053,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T15:00:00+01:00,0.0,0.0,0.0,1.5348009545169723,0.0,0.0,0.0,13.790000000000001,0.0,1.47,0.0,0.0,0.0,10.01,0.48,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T17:00:00+01:00,0.0,0.0,0.0,1.8641643056999713,7.944357307040009,0.0,0.0,13.790000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
sc2025,y2025,2025-01-06T19:00:00+01:00,0.0,0.0,0.0,2.3732047115799633,7.978,0.0,0.0,13.790000000000001,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.664000000000001,0.0,0.0,0.0,0.0,0.0
