Scenario,Period,LoadLevel,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DEKF,DKE1,DKKF,DKW1,EE00,ES00,FI00,FR00,FR15,GR00,GR03,HR00,HU00,IE00,ITCN,ITCO,ITCS,ITN1,ITS1,ITSA,ITSC,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM0,NOM1,NON0,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00,UA01,UK00,UKNI
sc2025,y2025,2025-01-04T23:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,59.96092480999998,107.73227140499986,0,0,0,0,0,0,0,0,0.0,0,0.0,3226.3854003600236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T01:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,73.56030980999999,137.34621814999986,0,0,0,0,0,0,0,0,2492.9332608999994,0,1179.8960911499994,2344.684200360025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T03:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,68.92415582999998,137.63028479999988,0,0,0,0,0,0,0,0,2563.146100049999,0,1169.8007976499985,2164.994879360025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T05:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,64.28800184999997,116.99994539999987,0,0,0,0,0,0,0,0,2810.600980599999,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T07:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,50.27651426999998,98.92620570499986,0,0,0,0,0,0,0,0,3279.642726749998,0,1746.7244128999985,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T09:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.13097585999997,94.77173118499985,0,0,0,0,0,0,0,0,3414.2603355999972,0,1820.4582841999986,6201.230863760033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T11:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,58.00343756999997,88.45124854999983,0,0,0,0,0,0,0,0,3445.2022036499975,0,1929.8318635499986,5992.52044424003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T13:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,58.312514499999985,90.29768167999983,0,0,0,0,0,0,0,0,3505.297137499997,0,1964.5403042499977,5822.194815470034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T15:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.07620676999997,89.80056506999983,0,0,0,0,0,0,0,0,3568.4122951499958,0,2001.9012727499983,5934.609083760037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-05T17:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.95518101499998,93.38690633499985,0,0,0,0,0,0,0,0,3566.813182899997,0,2162.802625899998,6036.475732760038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
