,,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2030-01-04T17:00:00+01:00,,1958.482738,1001.285425,446.3474075,1736.36023,548.9278635,181.452178,1149.740689,3022.802822,1511.840087,1291.18325,528.8382793,4994.86533,2901.796751,4236.699169,1006.077781
sc2015,y2030,2030-01-04T18:00:00+01:00,,2149.399483,1098.892695,489.8582295,1905.624036,602.4384299,199.1404927,1261.81967,3317.471578,1659.217228,1417.050329,580.3904736,5481.774614,3184.669598,4649.700925,1104.152219
sc2015,y2030,2030-01-04T19:00:00+01:00,,2281.79078,1166.578498,520.0308274,2023.000094,639.5453548,211.4064621,1339.540886,3521.809752,1761.415969,1504.332909,616.1393645,5819.422062,3380.827893,4936.097168,1172.16198
sc2015,y2030,2030-01-04T20:00:00+01:00,,2333.957013,1193.248781,531.9197568,2069.249862,654.1666218,216.2396304,1370.165431,3602.325262,1801.685409,1538.724923,630.2255244,5952.465517,3458.12028,5048.946076,1198.959912
sc2015,y2030,2030-01-04T21:00:00+01:00,,2375.598415,1214.538184,541.4100278,2106.168479,665.8379658,220.0976797,1394.6113,3666.596315,1833.830263,1566.178155,641.4697223,6058.666707,3519.818493,5139.027081,1220.351211
sc2015,y2030,2030-01-04T22:00:00+01:00,,2318.291633,1185.239766,528.3495431,2055.36118,649.7758944,214.7882429,1360.968962,3578.14667,1789.592604,1528.397093,625.9954883,5912.512924,3434.909583,5015.057851,1190.912565
sc2015,y2030,2030-01-04T23:00:00+01:00,,2111.51009,1079.521528,481.2230592,1872.031892,591.8187074,195.6300647,1239.576443,3258.991532,1629.968718,1392.070712,570.1594102,5385.142457,3128.530571,4567.736477,1084.688338
sc2015,y2030,2030-01-05T00:00:00+01:00,,1920.541645,981.8878259,437.7004543,1702.722249,538.2936503,177.9369599,1127.467111,2964.242978,1482.551667,1266.169548,518.5932555,4898.101317,2845.581121,4154.622878,986.5873406
sc2015,y2030,2030-01-05T01:00:00+01:00,,1746.124882,892.7162649,397.9500554,1548.087069,489.407735,161.7773579,1025.074557,2695.040971,1347.911596,1151.180532,471.49646,4453.273172,2587.155562,3777.314801,896.9889864
sc2015,y2030,2030-01-05T02:00:00+01:00,,1602.935477,819.5098684,365.3165181,1421.137577,449.2742927,148.5109508,941.0142373,2474.036553,1237.377315,1056.779005,432.8318158,4088.0865,2374.998191,3467.559489,823.4322092
sc2015,y2030,2030-01-05T03:00:00+01:00,,1588.488762,812.123903,362.0240438,1408.329345,445.2251354,147.1724718,932.5331941,2451.738898,1226.225251,1047.254613,428.9308489,4051.241958,2353.593135,3436.307548,816.010893
sc2015,y2030,2030-01-05T04:00:00+01:00,,1555.075193,795.0410259,354.4089346,1378.705396,435.8599064,144.0767259,912.9175297,2400.167021,1200.431828,1025.225805,419.9083673,3966.024828,2304.085736,3364.02545,798.8462539
